𛃶	Ri.Ri
𛃷	Ri.Ri
𛃸	Ru.Ru
𛃹	Ru.Ru
𛃺	Ru.Ru
𛃻	Ru.Ru
𛃼	Ru.Ru
𛃽	Ru.Ru
𛃾	Re.Re
𛃿	Re.Re
𛄀	Re.Re
𛄁	Re.Re
𛄂	Ro.Ro
𛄃	Ro.Ro
𛄄	Ro.Ro
𛄅	Ro.Ro
𛄆	Ro.Ro
𛄇	Ro.Ro
𛄈	Wa.Wa
𛄉	Wa.Wa
𛄊	Wa.Wa
𛄋	Wa.Wa
𛄌	Wa.Wa
𛄍	Wi.Wi
𛄎	Wi.Wi
𛄏	Wi.Wi
𛄐	Wi.Wi
𛄑	Wi.Wi
𛄒	We.We
𛄓	We.We
𛄔	We.We
𛄕	We.We
𛄖	Wo.Wo
𛄗	Wo.Wo
𛄘	Wo.Wo
𛄙	Wo.Wo
𛄚	Wo.Wo
𛄛	Wo.Wo
𛄜	Wo.Wo
𛀅	Wo.Wo
𛄝	Nn.Nn
𛄞	Nn.Nn
